destination,Aadorf,Aarau,Adliswil,Aesch (BL),Affoltern am Albis,Aigle,Allschwil,Alpnach,Altdorf (UR),Altendorf,Altstätten,Amriswil,Appenzell,Arbon,Arlesheim,Arth,Au (SG),Baar,Bad Ragaz,Baden,Bassersdorf,Bellach,Bellinzona,Beringen,Bern,Bernex,Beromünster,Biasca,Biel/Bienne,Binningen,Birsfelden,Bischofszell,Bolligen,Bonstetten,Brig-Glis,Buchrain,Buchs (SG),Bulle,Buochs,Burgdorf,Bülach,Carouge (GE),Cham,Chiasso,Chur,Chêne-Bougeries,Chêne-Bourg,Collonge-Bellerive,Dagmersellen,Davos,Delémont,Derendingen,Diepoldsau,Dietikon,Dübendorf,Düdingen,Ebikon,Ebnat-Kappel,Ecublens (VD),Einsiedeln,Embrach,Emmen,Ennetbürgen,Eschenbach (SG),Ettingen,Fehraltorf,Feusisberg,Flawil,Frauenfeld,Freienbach,Fribourg,Frutigen,Gaiserwald,Galgenen,Gelterkinden,Genève,Gland,Glarus,Glattfelden,Goldach,Gossau (SG),Grabs,Grenchen,Gränichen,Hergiswil (NW),Herisau,Horgen,Horw,Hünenberg,Illnau-Effretikon,Ingenbohl,Ittigen,Kerns,Kloten,Kreuzlingen,Kriens,Köniz,Küsnacht (ZH),Küssnacht (SZ),La Chaux-de-Fonds,La Tour-de-Peilz,Lachen,Lancy,Langenthal,Laufen,Lausanne,Le Grand-Saconnex,Le Locle,Lenzburg,Liestal,Locarno,Lugano,Luzern,Lyss,Malters,Martigny,Meilen,Meyrin,Monthey,Montreux,Morges,Moutier,Muri bei Bern,Murten,Muttenz,Männedorf,Möhlin,Münchenstein,Münsingen,Neuchâtel,Neuenkirch,Neuhausen am Rheinfall,Nidau,Nyon,Oberglatt,Oberriet (SG),Oberwil (BL),Oberägeri,Obfelden,Oftringen,Olten,Onex,Opfikon,Ostermundigen,Payerne,Pfäffikon,Plan-les-Ouates,Pratteln,Prilly,Pully,Rapperswil-Jona,Regensdorf,Reiden,Reinach (BL),Renens (VD),Rheinfelden,Richterswil,Riehen,Risch,Romanshorn,Romont (FR),Rorschach,Rothrist,Rüti (ZH),Saanen,Sachseln,Saint-Prex,Sarnen,Savièse,Saxon,Schaffhausen,Schattdorf,Schlieren,Schwyz,Schübelbach,Seon,Sierre,Sion,Sirnach,Solothurn,Spiez,Spreitenbach,St. Gallen,St. Moritz,Stans,Steffisburg,Steinhausen,Stäfa,Suhr,Sursee,Teufen (AR),Thalwil,Thayngen,Thun,Thônex,Trimbach,Tägerwilen,Uetikon am See,Unterseen,Unterägeri,Uster,Uzwil,Vernier,Versoix,Vevey,Veyrier,Villars-sur-Glâne,Volketswil,Wallisellen,Wangen (SZ),Wartau,Weinfelden,Wettingen,Wetzikon (ZH),Wil (SG),Winterthur,Wohlen (AG),Wohlen bei Bern,Wollerau,Worb,Wädenswil,Yverdon-les-Bains,Zermatt,Zofingen,Zollikon,Zuchwil,Zug,Zürich
Aadorf,0,4784,4560,6484,4304,12680,7170,6014,6948,4400,4240,2485,3189,2971,6487,5504,3392,4896,5771,3760,2074,7092,12730,2631,8224,15455,6153,11202,7949,6654,6090,1892,8023,4176,15703,5220,4978,10557,6251,7593,2533,15759,4669,15480,6825,16950,17171,16851,5740,8431,8347,6699,3615,3288,2213,9041,5515,2611,13124,5082,2087,5585,6357,3209,6743,1723,4577,1762,709,4483,9445,10274,1913,4449,5776,16137,14198,5020,2941,2671,1765,5099,7220,4982,5656,2205,4934,5624,4839,1873,5917,8054,6412,2508,2244,5707,8320,3737,5226,10269,11831,4529,15775,6293,7209,13382,15103,11241,4422,6008,14793,15255,5767,8145,6343,13691,3976,15700,13267,12343,13063,7782,8219,9208,6083,3708,5670,6388,8578,9894,5835,2473,7928,14415,2818,4165,6722,5404,4275,5223,5828,15558,2269,8014,10191,1756,15775,5907,13053,12722,3535,2824,5408,6407,13096,5669,4709,6747,4953,3404,10697,2905,5382,2772,12759,6439,13220,6368,15447,14227,2419,7200,3198,5997,3957,4692,15788,15056,832,6911,9627,3696,2502,11686,6223,9138,4695,3792,4748,6162,2784,4485,2885,9265,17211,5960,2349,3834,9686,5646,2642,1380,15317,14928,11849,16626,9381,2265,2454,3964,5559,1443,3683,2143,1002,1477,4688,8090,4505,8452,4824,11278,17764,5338,3358,6549,5237,2578
Aarau,4692,2,3564,3628,3520,8796,4342,3952,5240,4869,8269,6597,7239,7030,3532,4761,7458,4127,7193,2088,3403,3284,10877,5124,4416,11631,2563,9637,4208,3795,3180,5928,4252,3258,12383,3534,7811,6691,4228,3806,3383,11924,3894,13097,8119,12896,13104,12851,1931,9816,4698,2854,7686,2314,3180,5174,3854,6664,9232,5042,3491,3296,4242,5619,3794,3796,4701,5841,4661,4714,5604,6403,5966,4798,2157,12149,10407,6293,3653,6716,5804,8189,3433,914,3541,6258,4067,3512,3663,3480,5121,4246,4309,3033,5439,3608,4525,5042,4364,6430,7860,4767,11828,2380,4389,9467,11274,7326,1134,3050,12518,12771,3638,4294,3836,9874,5080,11726,9484,8434,9151,4013,4464,5351,3115,4983,2649,3401,4748,6089,3073,4919,4146,10557,3104,8207,3776,5018,3196,1276,1434,11711,2769,4198,6351,3904,11954,2963,9250,8797,4698,2611,1596,3541,9201,2622,4323,3824,3882,7224,6775,6982,1477,5041,8919,4449,9354,4314,11547,10434,4896,5609,2724,5229,5131,1139,11859,11173,4913,3077,5763,2129,6551,13984,4128,5295,3903,5035,644,2331,6860,3824,5337,5381,13073,1212,5607,4919,6701,4866,3769,5449,11454,11245,7889,12580,5500,3405,3073,4878,7290,5261,1903,4112,5082,3860,1862,4331,4313,4686,4214,7391,13567,1488,4951,2699,4510,3255
Adliswil,4055,3021,0,4847,1194,10821,5465,3164,4005,1930,6382,5955,6564,6388,4773,2582,6270,1558,4389,1965,2366,5390,9346,4432,6520,13545,3555,8226,6255,4969,4347,5321,6329,925,11755,2198,4957,8776,3401,5897,2423,13922,1551,11783,5342,15071,15230,14919,3939,6951,6647,4981,6136,1402,2471,7304,2488,3871,11279,2123,2498,2540,3413,2730,5023,2785,1686,5221,3939,1681,7716,8539,5345,1772,4000,14068,12400,3449,2824,6113,5187,5214,5531,3226,2739,5627,918,2684,1729,2833,2974,6351,3519,1995,4803,2791,6610,2467,2187,8517,10029,1819,13839,4495,5503,11540,13076,9454,2647,4297,11073,11460,2834,6370,3442,11863,3491,13771,11433,10485,11175,6087,6549,7483,4350,3153,3898,4662,6928,8197,2928,4330,6225,12527,2142,5676,5002,2448,1185,3431,4040,13706,1816,6313,8459,2924,13863,4198,11223,10843,1783,1718,3712,4719,11259,3881,1302,5058,1889,6535,8913,6342,3641,2979,10869,3585,11424,3490,13523,12413,4277,4346,1480,3066,2197,2942,13789,13151,4303,5183,7892,1718,5898,10232,3301,7398,1656,2685,2981,3381,6220,655,4735,7518,15161,4236,4965,3707,6797,2224,2769,4767,13387,13182,10019,14703,7641,2373,2095,1945,4537,4674,1876,3113,4481,2898,1833,6386,1245,6741,1141,9503,14081,3611,2184,4828,2094,1230
Aesch (BL),6345,3566,5262,0,5188,9485,1459,5605,6910,6528,10032,8286,8998,8719,567,6375,9216,5775,8863,3798,5064,4213,12241,6782,5294,12265,4546,11108,4851,1217,767,7644,5134,4994,12787,5210,9473,7583,5843,4693,5090,12554,5551,14539,9934,13544,13696,13459,3592,11487,2049,3776,9401,4050,4823,6045,5482,8362,9873,6673,5164,4973,5865,7313,408,5423,6345,7508,6303,6382,6477,7304,7633,6451,1950,12675,11047,8009,5303,8438,7504,9767,4319,3874,5190,7959,5714,5156,5696,5168,6814,5118,5963,4652,7152,5243,5397,6967,5999,5795,8774,6445,12409,3733,933,10167,11832,6534,3837,1422,14045,14241,5299,5084,5474,10515,6753,12386,10161,9139,9837,2863,5350,6237,885,6667,1812,776,5561,6469,4797,6626,5008,11144,4793,9959,850,6715,5150,2988,3399,12335,4526,5058,7245,5547,12543,1134,9881,9490,6358,4475,3259,358,9885,1582,5971,1476,5519,9026,7696,8696,3049,6696,9609,6021,10056,5916,12100,10982,6549,7248,4393,6899,6787,4141,12437,11726,6566,4042,6661,3849,8250,15563,5755,6184,5550,6739,3698,4055,8573,5506,7010,6293,13773,3054,7274,6592,7565,6532,5391,7120,11920,11809,8806,13700,6409,5088,4772,6504,9060,6926,3563,5757,6736,5527,4091,5188,5934,5546,5854,8286,14188,3286,6505,3618,6150,4922
Affoltern am Albis,3810,3072,1279,4939,0,10913,5511,2463,3306,2759,7138,5672,6345,6107,4871,1904,6556,1116,5139,2027,2442,5446,8659,4223,6614,13734,2576,7516,6321,5074,4479,5051,6394,496,11093,1517,5741,8888,2721,5933,2491,13952,902,11061,6156,15007,15262,14916,3258,7770,6706,5048,6766,1450,2242,7349,1817,4677,11311,2933,2565,1889,2720,3504,5117,2848,2457,4971,3726,2445,7776,7473,5104,2589,4101,14137,12477,4307,2895,5816,4961,6030,5573,3294,2055,5355,1807,2006,1065,2593,2297,6389,2841,2076,4617,2115,6682,2980,1520,8628,10079,2643,13921,4210,5550,11618,13137,9521,2729,4398,10403,10753,2146,6436,2761,11981,4008,13728,11642,10577,11296,6130,6586,7542,4462,4474,3965,4775,6888,8298,2239,4081,6283,12483,2218,6563,5072,2169,457,3525,4149,13812,1902,6332,8567,2995,13964,4310,11416,10954,2559,1779,3346,4810,11292,3995,2074,5139,1228,6294,8980,6058,3699,3760,9815,2902,11497,2818,13618,12411,4008,3657,1518,2388,3016,2984,13939,13147,4034,5226,6792,1796,5636,11102,2623,7455,897,3500,3051,2692,5936,1555,4488,7576,15181,4381,4760,4212,6057,1922,2832,4588,13374,13232,10117,14696,7694,2448,2173,2775,5343,4412,1944,3178,4194,2965,1732,6446,2067,6816,1950,9570,13400,3698,2694,4909,1527,1732
Aigle,12559,8734,11408,9749,11295,0,10484,10514,11874,12721,16136,14451,15117,14866,9724,11313,15347,11015,15098,9995,11198,7195,14632,12951,5350,5581,9431,13299,6865,9942,9293,13824,5452,11146,5772,10128,15710,2910,10820,6414,11242,5881,10688,16057,15937,6889,7057,6781,8420,17474,8989,6510,15533,10197,10985,3936,10416,14525,3303,12886,11388,9881,10771,13413,9977,11605,12572,13693,12469,12549,3986,7574,13859,12647,8692,6039,4283,14160,11481,14580,13712,15994,7338,8674,10143,14138,11906,10087,10773,11414,11722,5497,10911,10923,13304,10204,5065,12893,10909,6521,1540,12618,5780,7674,9921,3077,5121,7024,9072,8791,12857,16450,10207,6248,10419,1579,12922,5696,1169,1592,3247,8275,5538,4861,9304,12827,9554,9613,5873,5343,9693,12779,6813,4425,11045,16018,9985,12082,11064,7844,8236,5653,10714,5360,4236,11740,5914,9196,2954,2438,12553,10522,8079,9663,3238,9349,12165,10023,10478,15097,3087,14845,7912,12891,3402,11041,3450,10892,3145,2008,12727,12213,10604,11794,12960,9088,3453,2838,12783,6989,6909,10035,14416,21768,10676,6427,10813,12901,8731,8893,14742,11700,13224,6541,7015,8390,13487,12763,7828,11835,11604,13298,5333,5088,1612,7025,3668,11284,11003,12722,15185,13138,9816,11909,12919,11695,9748,4979,12164,5847,12055,4088,7201,8122,12683,6589,11449,11063
Allschwil,6808,4111,5723,1453,5681,10074,9,6106,7372,6977,10608,8773,9534,9223,1554,6840,9756,6239,9437,4380,5524,4684,12914,7257,5827,13063,4991,11686,5557,601,1165,8108,5650,5404,13576,5684,10084,8059,6339,5171,5576,13213,6023,15451,10509,14323,14514,14431,4185,12208,3454,4269,9978,4578,5352,6544,5976,8900,10480,7174,5660,5447,6341,7686,1092,5927,6836,7970,6766,6818,6956,7760,8098,6929,2604,13686,11627,8505,5823,8929,7982,10515,4831,4444,5684,8470,6211,5635,6172,5680,7246,5620,6475,5166,7578,5763,5924,7175,6473,7295,9298,6874,13355,4225,2299,10741,12418,8021,4385,2156,14935,15134,5778,5725,5978,11238,7196,13185,10725,9701,10426,4263,5797,6736,1634,7074,2462,1398,6110,7377,5284,7047,5503,11852,5305,10536,579,7148,5718,3655,3975,13209,4996,5602,7682,6056,13222,1806,10495,10079,6817,4872,3858,1115,10452,2325,6454,1270,6070,9480,8211,9193,3754,7175,10172,6523,10629,6457,12949,11728,7047,7698,4899,7355,7236,4612,13360,12425,7038,4465,7142,4329,8738,16755,6261,6648,6040,7145,4458,4540,9093,6009,7464,6768,14654,3646,7752,7067,8027,6990,5898,7575,12643,12545,9302,14072,6893,5523,5277,6995,9636,7382,4127,6279,7202,6064,4576,5651,6432,6033,6329,8805,15280,3891,7009,4183,6651,5388
Alpnach,5799,3973,3266,5691,2589,10356,6425,0,2008,4460,8851,7706,8342,8117,5670,2640,8558,2345,6853,4036,4445,5035,7283,6212,6177,13070,2231,6187,5927,5970,5267,7040,6021,2919,8967,1443,7461,8399,965,5528,4499,13447,1991,9579,7818,14383,14529,14344,2610,9506,6438,4616,8670,3470,4263,6909,1742,6341,10777,4264,4568,1234,977,5225,5925,4850,3827,6928,5726,4141,7339,5267,7064,4314,4761,13675,11902,5980,4882,7833,6907,7674,5175,3975,811,7346,3496,718,2078,4599,3029,5975,506,4081,6565,1034,6243,4937,2261,8134,9596,4362,13302,3566,6462,10986,12630,9079,4349,4811,9043,9257,1182,6089,1980,11456,5962,13170,10967,10012,10720,5724,6195,7102,5264,5633,5495,5572,5858,7819,1600,6036,5861,12015,4231,8248,5896,3395,2411,3097,3685,13237,3899,5914,8081,4987,13395,5121,10803,10375,4275,3798,2695,5608,10756,5281,3755,5967,1805,8296,8523,8077,3237,5468,7483,617,10910,405,11395,11858,6003,2367,3545,3111,4729,3509,10193,12650,6016,4869,4488,3800,7651,12865,858,5412,2147,5198,4011,2050,7950,3547,6438,5317,14544,3900,6700,6165,3763,3162,4843,6562,12897,12599,9633,14069,7243,4457,4189,4475,7046,6367,3962,5184,6181,4952,3509,6046,3756,6405,3587,9132,11314,3220,4686,4464,2745,3716
Altdorf (UR),6666,5334,4113,7087,3440,11776,7822,2116,0,4314,8565,8651,8031,9059,7062,2040,8484,3195,6535,4871,5238,6440,5830,7095,7530,14529,3614,4695,7276,7237,6665,7958,7350,3735,8147,2843,7187,9856,1408,6914,5301,14823,2826,8176,7513,15831,16014,15691,3996,9168,7838,6014,8394,4316,5081,8349,3160,5959,12175,3359,5400,2617,1569,4880,7294,5652,3356,7256,6585,3768,8761,7205,7906,4085,6196,14964,13295,5137,5680,8763,7757,7478,6577,5341,2188,8280,4338,2102,2847,5410,1409,7391,2443,4907,7394,2424,7650,5747,2424,9580,11027,4168,14677,4933,7880,12431,14006,10492,5559,6203,7472,7819,2577,7476,3428,12853,5582,14648,12428,11408,12118,7110,7548,8539,6684,5332,6826,6950,7873,9233,3017,6877,7239,13391,5032,7945,7267,2856,3248,4462,5049,14552,4734,7290,9496,5810,14771,6542,12157,11775,4084,4651,4065,7022,12119,6700,3813,7349,2674,9177,9952,8994,4607,5157,9449,2574,12321,2459,11701,13230,6866,306,4378,1664,4518,4969,10628,11539,6884,6231,6507,4756,8579,12461,1783,7259,2994,4923,5370,3421,8866,4396,7260,7132,15983,5261,7526,5486,5760,3111,5627,7406,14280,13974,11031,15467,8690,5271,4996,4253,6748,7180,4794,5616,7040,5741,4741,7386,3456,7798,3962,10529,10403,4582,5494,5836,3261,4581
Altendorf,4391,4423,1857,6219,2584,12341,6831,4264,3895,0,5213,5561,4692,5736,6144,2913,5117,2406,3208,3346,3743,6759,9344,5799,7941,15061,4627,8163,7695,6420,5758,4761,7759,2324,11834,3255,3827,10255,4481,7295,3797,15355,2721,11743,4250,16381,16544,16300,5017,5804,8069,6351,5020,2778,3846,8693,3569,2705,12799,1620,3870,3653,4504,1554,6383,3381,753,3933,4713,762,9115,9292,4777,569,5385,15478,13726,2355,4223,5496,4460,4202,6896,4608,3785,4388,1577,3739,2872,3640,2974,7765,4606,3414,6231,3842,8043,3272,3298,9950,11450,422,15313,5865,6893,13110,14541,10920,4003,5671,11132,11438,3884,7801,4501,13351,2470,15392,13085,11905,12651,7459,7942,8884,5744,2158,5286,6032,8258,9547,3975,5710,7626,13944,3526,4542,6363,1864,2588,4862,5417,15139,3209,7732,9854,2956,15432,5592,12869,12399,806,3111,5074,6093,12684,5308,1208,6425,2989,6169,10392,6128,5048,1963,11762,4697,12980,4590,14994,13829,5669,4174,2858,2604,985,4319,15320,14591,4083,6559,8584,3115,5271,9173,4356,8815,2571,1770,4330,4479,4846,2031,6111,8911,16742,5619,6353,2278,7805,2107,3038,4069,14985,14755,11444,16140,9052,3497,3494,682,3416,4989,3264,2519,3820,4295,3223,7773,886,8172,1341,10968,13922,5041,3194,6190,2463,2630
