year,Number of workplaces - swiss,Number of employees - swiss,Number of workplaces with <50 employees - swiss,Number of workplaces with ≥50 and <250 employees - swiss,Number of workplaces with ≥250 employees - swiss,name
2011,1067121,5084652,1772973,48895,6245,Switzerland
2012,1073335,5135767,1787125,49442,6409,Switzerland
2013,1083197,5203246,1811727,50148,6462,Switzerland
2014,1100924,5271265,1863660,50553,6463,Switzerland
2015,1109241,5304864,1887225,50790,6554,Switzerland
2016,1113114,5348172,1903798,51170,6586,Switzerland
2017,1119740,5410767,1920318,51535,6740,Switzerland
2018,1123200,5482065,1931467,52850,6816,Switzerland
2019,1131366,5553978,1957669,53788,6904,Switzerland
2020,1134067,5523937,1960928,52905,6744,Switzerland
2021,1144215,5652492,1989655,54156,7057,Switzerland
2022,1156341,5797700,2022694,55904,7296,Switzerland
